# DDoS Attack Log Sample
# Generated for Shield-Source FYP demonstration
# This log demonstrates a Distributed Denial of Service (DDoS) attack
# Note: Single IP (198.51.100.1) making extremely high-frequency requests

198.51.100.1 - - [09/Jul/2026:15:00:00 +0000] "GET / HTTP/1.1" 200 1024
198.51.100.1 - - [09/Jul/2026:15:00:00 +0000] "GET / HTTP/1.1" 200 1024
198.51.100.1 - - [09/Jul/2026:15:00:00 +0000] "GET / HTTP/1.1" 200 1024
198.51.100.1 - - [09/Jul/2026:15:00:00 +0000] "GET / HTTP/1.1" 503 0
198.51.100.1 - - [09/Jul/2026:15:00:00 +0000] "GET / HTTP/1.1" 503 0
198.51.100.1 - - [09/Jul/2026:15:00:00 +0000] "GET / HTTP/1.1" 503 0
198.51.100.1 - - [09/Jul/2026:15:00:00 +0000] "GET /index.html HTTP/1.1" 503 0
198.51.100.1 - - [09/Jul/2026:15:00:01 +0000] "GET / HTTP/1.1" 503 0
198.51.100.1 - - [09/Jul/2026:15:00:01 +0000] "GET / HTTP/1.1" 503 0
198.51.100.1 - - [09/Jul/2026:15:00:01 +0000] "GET / HTTP/1.1" 503 0
198.51.100.1 - - [09/Jul/2026:15:00:01 +0000] "GET / HTTP/1.1" 503 0
198.51.100.1 - - [09/Jul/2026:15:00:01 +0000] "GET / HTTP/1.1" 503 0
198.51.100.1 - - [09/Jul/2026:15:00:01 +0000] "GET / HTTP/1.1" 503 0
198.51.100.1 - - [09/Jul/2026:15:00:01 +0000] "GET / HTTP/1.1" 503 0
ERROR: error: connection pool exhausted — too many simultaneous connections
198.51.100.1 - - [09/Jul/2026:15:00:02 +0000] "GET / HTTP/1.1" 503 0
198.51.100.1 - - [09/Jul/2026:15:00:02 +0000] "GET / HTTP/1.1" 503 0
198.51.100.1 - - [09/Jul/2026:15:00:02 +0000] "GET / HTTP/1.1" 503 0
198.51.100.1 - - [09/Jul/2026:15:00:02 +0000] "GET / HTTP/1.1" 503 0
198.51.100.1 - - [09/Jul/2026:15:00:02 +0000] "GET / HTTP/1.1" 503 0
198.51.100.1 - - [09/Jul/2026:15:00:02 +0000] "GET / HTTP/1.1" 503 0
198.51.100.1 - - [09/Jul/2026:15:00:02 +0000] "GET / HTTP/1.1" 503 0
198.51.100.1 - - [09/Jul/2026:15:00:02 +0000] "GET / HTTP/1.1" 503 0
198.51.100.1 - - [09/Jul/2026:15:00:03 +0000] "GET / HTTP/1.1" 503 0
198.51.100.1 - - [09/Jul/2026:15:00:03 +0000] "GET / HTTP/1.1" 503 0
ERROR: critical: Server load average exceeded 95% threshold
198.51.100.1 - - [09/Jul/2026:15:00:03 +0000] "GET / HTTP/1.1" 503 0
198.51.100.1 - - [09/Jul/2026:15:00:03 +0000] "GET / HTTP/1.1" 503 0
198.51.100.1 - - [09/Jul/2026:15:00:03 +0000] "GET / HTTP/1.1" 503 0
198.51.100.1 - - [09/Jul/2026:15:00:03 +0000] "GET / HTTP/1.1" 503 0
198.51.100.1 - - [09/Jul/2026:15:00:03 +0000] "GET / HTTP/1.1" 503 0
198.51.100.1 - - [09/Jul/2026:15:00:03 +0000] "GET / HTTP/1.1" 503 0
198.51.100.1 - - [09/Jul/2026:15:00:04 +0000] "GET / HTTP/1.1" 503 0
198.51.100.1 - - [09/Jul/2026:15:00:04 +0000] "GET / HTTP/1.1" 503 0
198.51.100.1 - - [09/Jul/2026:15:00:04 +0000] "GET / HTTP/1.1" 503 0
198.51.100.1 - - [09/Jul/2026:15:00:04 +0000] "GET / HTTP/1.1" 503 0
198.51.100.1 - - [09/Jul/2026:15:00:04 +0000] "GET / HTTP/1.1" 503 0
198.51.100.1 - - [09/Jul/2026:15:00:04 +0000] "GET / HTTP/1.1" 503 0
ERROR: fatal: Kernel: NMI watchdog - CPU soft lockup detected
198.51.100.1 - - [09/Jul/2026:15:00:05 +0000] "GET / HTTP/1.1" 503 0
198.51.100.1 - - [09/Jul/2026:15:00:05 +0000] "GET / HTTP/1.1" 503 0
198.51.100.1 - - [09/Jul/2026:15:00:05 +0000] "GET / HTTP/1.1" 503 0
198.51.100.1 - - [09/Jul/2026:15:00:05 +0000] "GET / HTTP/1.1" 503 0
198.51.100.1 - - [09/Jul/2026:15:00:05 +0000] "GET / HTTP/1.1" 503 0
198.51.100.1 - - [09/Jul/2026:15:00:05 +0000] "GET / HTTP/1.1" 503 0
